,Mã học phần,Tên lớp học phần,Phòng,Max,Min,Ngày
1155,5507283,124TNQTTBTL01,PTNQT,20,5,19/08/2024
1156,5507207,124TNQTTBTN01,PTNHOA,20,11,19/08/2024
1157,5507207,124TNQTTBTN02,PTNHOA,20,20,19/08/2024
1158,5507207,124TNQTTBTN03,PTNHOA,22,16,14/10/2024
1159,5507336,124TNQTVATBTC01,PTNHOA,20,0,14/10/2024
1160,5507325,124TNQTVATBTL01,PTNHOA,20,5,14/10/2024
1161,5504204,124TNTDTKCDT01,XCDT,20,20,19/08/2024
1162,5504204,124TNTDTKCDT02,XCDT,20,20,19/08/2024
1163,5504204,124TNTDTKCDT03,XCDT,20,20,19/08/2024
1164,5504204,124TNTDTKCDT04,XCDT,20,20,19/08/2024
1165,5504303,124TNVLKT2201,XCOKHI,22,18,19/08/2024
1166,5504303,124TNVLKT2203,XCOKHI,20,20,19/08/2024
1167,5504303,124TNVLKT2206,XCOKHI,20,20,19/08/2024
1168,5507205,124TNVS01,PTNHOA,21,19,19/08/2024
1169,5507205,124TNVS03,PTNHOA,23,23,19/08/2024
1170,5504154,124TP01,20,11,DH,G
1171,5504154,124TP02,20,15,DH,G
1172,5507139,124TPCN01,A211,60,25,19/08/2024
1173,5506045,124TQTCTX01,A104,60,35,19/08/2024
1174,5506045,124TQTCTX02,A307,60,28,19/08/2024
1175,5505212,124TQTM01,PMT,30,33,19/08/2024
1176,5505212,124TQTM02,PMT,30,45,19/08/2024
1177,5505212,124TQTM03,PMT,30,30,19/08/2024
1178,5505212,124TQTM04,PMT,30,30,19/08/2024
1179,5505212,124TQTM05,PMT,30,29,19/08/2024
1180,5505106,124TR01,PTNHTĐ,20,21,19/08/2024
1181,5505106,124TR02,PTNHTĐ,20,20,19/08/2024
1182,5505106,124TR03,PTNHTĐ,20,20,14/10/2024
1183,5505106,124TR04,PTNHTĐ,20,20,14/10/2024
1184,5505225,124TRR01,B103_CS2,65,64,26/08/2024
1185,5505225,124TRR02,B206_CS2,60,43,26/08/2024
1186,5505225,124TRR03,B106_CS2,60,46,26/08/2024
1187,5504079,124TTCB01,XCTM,20,20,19/08/2024
1188,5504079,124TTCB02,XCTM,20,19,19/08/2024
1189,5504079,124TTCB03,XCTM,20,19,19/08/2024
1190,5504079,124TTCB04,XCTM,20,17,19/08/2024
1191,5504079,124TTCB05,XCTM,20,15,19/08/2024
1192,5504209,124TTCMCCCDT01,30,26,DH,G
1193,5504210,124TTCMCCDT01,PMT,35,31,19/08/2024
1194,5505328,124TTCMCNM01,X,200,176,19/08/2024
1195,5504206,124TTCMCTMCDT01,XCTM,25,25,19/08/2024
1196,5504208,124TTCMRBCNCDT01,XCNC,25,17,19/08/2024
1197,5505349,124TTCMTKCSDL01,X,250,159,19/08/2024
1198,5504207,124TTCMVDKCDT01,XCNC,25,25,19/08/2024
1199,5504207,124TTCMVDKCDT02,XCNC,25,25,19/08/2024
1200,5504053,124TTDCDT01,A213,55,54,19/08/2024
1201,5504053,124TTDCDT02,A209,55,46,19/08/2024
1202,5505107,124TTDD01,XDIEN,20,20,19/08/2024
1203,5505107,124TTDD02,XDIEN,22,23,19/08/2024
1204,5505107,124TTDD03,XDIEN,23,14,19/08/2024
1205,5505107,124TTDD04,XDIEN,20,23,19/08/2024
1206,5505107,124TTDD05,XDIEN,20,18,19/08/2024
1207,5505107,124TTDD06,XDIEN,20,21,19/08/2024
1208,5505107,124TTDD07,XDIEN,20,20,19/08/2024
1209,5506175,124TTKSTKD2001,X,20,11,19/08/2024
1210,5507233,124TTKT02,X,20,8,19/08/2024
1211,5507260,124TTKT2003,X,20,4,19/08/2024
1212,5504052,124TTKTMT01,A102,47,47,19/08/2024
1213,5505092,124TTMD01,XDIEN,20,19,19/08/2024
1214,5505092,124TTMD02,XDIEN,20,20,19/08/2024
1215,5505092,124TTMD04,XDIEN,20,18,19/08/2024
1216,5505092,124TTMD05,XDIEN,20,20,19/08/2024
1217,5505092,124TTMD06,XDIEN,25,25,19/08/2024
1218,5505092,124TTMD07,XDIEN,20,20,19/08/2024
1219,5505092,124TTMD08,XDIEN,22,19,19/08/2024
1220,5505092,124TTMD09,XDIEN,20,20,19/08/2024
1221,5505092,124TTMD10,XDIEN,20,19,19/08/2024
1222,5505092,124TTMD12,XDIEN,20,20,19/08/2024
1223,5505092,124TTMD13,XDIEN,20,15,19/08/2024
1224,5504048,124TTNCK01,X,50,2,19/08/2024
1225,5504159,124TTNL01,XOTO,25,25,19/08/2024
1226,5504159,124TTNL02,XOTO,25,25,19/08/2024
1227,5504159,124TTNL03,XOTO,25,30,19/08/2024
1228,5504159,124TTNL04,XOTO,25,25,19/08/2024
1229,5504159,124TTNL05,XOTO,25,18,19/08/2024
1230,5505226,124TTNT01,A103,60,53,19/08/2024
1231,5507206,124TTNT2002,X,50,46,19/08/2024
1232,5504215,124TTNTUD01,B106_CS2,40,26,26/08/2024
1233,5504215,124TTNTUD02,B106_CS2,40,25,26/08/2024
1234,5505264,124TTSO01,A207,60,51,19/08/2024
1235,5504306,124TTTNCK2201,X,60,0,19/08/2024
1236,5505327,124TTTNCNTT01,X,200,37,19/08/2024
1237,5505308,124TTTNHTD01,X,70,1,19/08/2024
1238,5505259,124TTTNKTDT01,VPBM,70,0,19/08/2024
1239,5505313,124TTTNTDH01,X,150,3,19/08/2024
1240,5506058,124TUD01,B201,33,33,19/08/2024
1241,5506058,124TUD02,B201,30,29,19/08/2024
1242,5504189,124TUDCB01,A106,60,60,19/08/2024
1243,5504189,124TUDCB02,A213,50,47,19/08/2024
1244,5504189,124TUDCB03,A213,50,49,19/08/2024
1245,5504252,124TUDCK03,A106,65,66,01/10/2024
1246,5504252,124TUDCK04,A306,65,65,01/10/2024
1247,5504247,124TUDCKOTO01,B106_CS2,65,64,26/08/2024
1248,5504247,124TUDCKOTO02,B103_CS2,65,65,26/08/2024
1249,5504304,124TUHTCK2201,A211,40,31,19/08/2024
1250,5504304,124TUHTCK2202,A307,40,39,19/08/2024
1251,5506121,124TV01,A307,60,17,19/08/2024
1252,5505085,124TVDK01,PTNTDH,30,30,19/08/2024
1253,5506056,124TVLXD01,PTNXD,25,0,09/09/2024
1254,5506056,124TVLXD02,PTNXD,25,0,09/09/2024
1255,5506056,124TVLXD03,PTNXD,25,0,09/09/2024
1256,5506056,124TVLXD04,PTNXD,25,0,09/09/2024
1257,5506056,124TVLXD05,PTNXD,25,0,09/09/2024
1258,5506056,124TVLXD06,PTNXD,25,0,09/09/2024
1259,5506056,124TVLXD07,PTNXD,25,1,09/09/2024
1260,5506056,124TVLXD08,PTNXD,25,1,09/09/2024
1261,5506056,124TVLXD09,PTNXD,25,0,09/09/2024
1262,5506056,124TVLXD10,PTNXD,25,1,09/09/2024
1263,5507042,124TVSMT02,PTNMT,20,16,19/08/2024
1264,5505086,124TXS&ứD01,PTNDIENTU,20,20,19/08/2024
1265,5505086,124TXS&ứD02,PTNDIENTU,20,20,19/08/2024
1266,5505086,124TXS&ứD03,PTNDIENTU,20,17,19/08/2024
1267,5505086,124TXS&ứD04,PTNDIENTU,20,21,19/08/2024
1268,5505086,124TXS&ứD06,PTNDIENTU,20,11,19/08/2024
1269,5505086,124TXS&ứD07,PTNDIENTU,20,18,19/08/2024
1270,5505086,124TXS&ứD08,PTNDIENTU,20,20,19/08/2024
1271,5504221,124UDIOT01,A211,40,39,19/08/2024
1272,5504221,124UDIOT02,A206,40,40,19/08/2024
1273,5504240,124UDVDKOTO01,A210,45,29,19/08/2024
1274,5504240,124UDVDKOTO02,A210,45,17,19/08/2024
1275,5504168,124VCKTMT01,PMT,30,29,19/08/2024
1276,5504168,124VCKTMT02,PMT,30,30,19/08/2024
1277,5506233,124VGH01,A104,60,50,19/08/2024
1278,5504085,124VKT01,A303,60,6,09/09/2024
1279,5504085,124VKT02,A302,60,16,09/09/2024
1280,5504085,124VKT03,A303,60,19,09/09/2024
1281,5504085,124VKT04,A303,60,13,09/09/2024
1282,5504085,124VKT05,A218,60,4,09/09/2024
1283,5504085,124VKT06,A218,60,10,09/09/2024
1284,5504085,124VKT07,A302,60,7,09/09/2024
1285,5504085,124VKT08,A302,60,5,09/09/2024
1286,5504085,124VKT09,A302,60,4,09/09/2024
1287,5504085,124VKT10,A302,60,3,09/09/2024
1288,5504085,124VKT11,A106,60,12,09/09/2024
1289,5504085,124VKT12,A106,60,6,09/09/2024
1290,5504085,124VKT13,A302,60,9,09/09/2024
1291,5504085,124VKT14,A302,60,17,09/09/2024
1292,5504085,124VKT15,A304,60,10,09/09/2024
1293,5504085,124VKT16,A304,60,14,09/09/2024
1294,5505235,124VKTD01,PMT,20,25,19/08/2024
1295,5505235,124VKTD02,PMT,20,19,19/08/2024
1296,5305001,124VLCD01,A305,80,15,09/09/2024
1297,5305001,124VLCD02,A305,80,15,09/09/2024
1298,5305001,124VLCD03,A218,80,24,09/09/2024
1299,5305001,124VLCD04,A218,80,6,09/09/2024
1300,5305002,124VLCN01,A301,80,2,09/09/2024
1301,5305002,124VLCN02,A301,80,5,09/09/2024
1302,5305002,124VLCN03,A305,80,7,09/09/2024
1303,5305002,124VLCN04,A305,80,3,09/09/2024
1304,5305002,124VLCN05,A305,80,1,09/09/2024
1305,5305002,124VLCN06,A305,80,5,09/09/2024
1306,5504175,124VLCNNL01,A213,60,33,19/08/2024
1307,5504175,124VLCNNL02,A207,60,46,19/08/2024
1308,5305003,124VLCQ01,A303,80,1,09/09/2024
1309,5305003,124VLCQ02,A303,80,2,09/09/2024
1310,5305004,124VLDT01,A302,80,2,09/09/2024
1311,5305004,124VLDT02,A302,80,0,09/09/2024
1312,5305004,124VLDT03,A304,80,12,09/09/2024
1313,5305004,124VLDT04,A304,80,2,09/09/2024
1314,5305004,124VLDT05,A305,80,3,09/09/2024
1315,5305004,124VLDT06,A304,80,3,09/09/2024
1316,5305004,124VLDT07,A305,80,3,09/09/2024
1317,5305004,124VLDT08,A305,80,1,09/09/2024
1318,5504084,124VLKT01,A104,45,44,19/08/2024
1319,5504084,124VLKT02,A104,47,46,19/08/2024
1320,5504084,124VLKT03,A218,47,46,19/08/2024
1321,5506211,124VLKT101,A106,60,48,19/08/2024
1322,5506195,124VLKT2001,A104,60,18,19/08/2024
1323,5504275,124VLMTKT01,A309,60,60,19/08/2024
1324,5504275,124VLMTKT02,A309,50,30,19/08/2024
1325,5505361,124VLNTVMBD01,A306,60,0,09/09/2024
1326,5507197,124VLUD01,A107,60,60,19/08/2024
1327,5506060,124VLXD01,A103,60,0,09/09/2024
1328,5506060,124VLXD02,A105,60,2,09/09/2024
1329,5506060,124VLXD03,A206,60,0,09/09/2024
1330,5506060,124VLXD04,A211,60,1,09/09/2024
1331,5506060,124VLXD05,A304,60,2,09/09/2024
1332,5506204,124VMT101,B104,30,0,09/09/2024
1333,5506204,124VMT102,B104,30,0,09/09/2024
1334,5507204,124VS01,B205_CS2,60,42,26/08/2024
1335,5506062,124VXDMT01,B201,30,30,19/08/2024
1336,5506062,124VXDMT02,B201,30,31,19/08/2024
1337,5507286,124XLCTON2201,A104,60,9,19/08/2024
1338,5505116,124XLTHS01,B105_CS2,60,56,26/08/2024
1339,5505116,124XLTHS02,A205,60,60,19/08/2024
1340,5319005,124XSTK01,A214,81,79,19/08/2024
1341,5319005,124XSTK02,A214,83,82,19/08/2024
1342,5319005,124XSTK03,A214,83,82,19/08/2024
1343,5319005,124XSTK04,A214,83,83,19/08/2024
1344,5319005,124XSTK05,A218,78,77,19/08/2024
1345,5319005,124XSTK06,A101,83,81,19/08/2024
1346,5319005,124XSTK08,A308,80,12,19/08/2024
